col0 col1
251.66033928603204 -22.47356609102879
251.70763660277925 -22.494679564180164
247.57647059341053 -22.37397179168448
250.77064611936092 -22.47550966368071
252.1159519769712 -22.460180026379128
250.58042275404898 -22.409820690591147
249.88869067269275 -22.420039292463997
253.73052985286398 -22.491314982919775
250.12818328076415 -22.414498242081265
249.53133077979328 -22.38868828539829
246.7682711478304 -22.33605540642636
248.0299926346827 -22.410769921153445
249.186078616694 -22.425461933213274
255.17767262024535 -22.502747246673998
255.5121274496954 -22.56140508044493
252.07584963999108 -22.491834273598354
254.29011320310397 -22.52682021758197
258.25371429469163 -22.60906861049282
254.72723448841256 -22.567073022051638
259.8972836810306 -22.6520866327032
256.10563971816805 -22.5758360728173
254.32552322302635 -22.548044764706596
252.86437787355732 -22.43284957443681
247.91425318159398 -22.36261358396872
248.4100886119005 -22.370226260932434
250.1347636490946 -22.458777471297125
249.55286484271133 -22.447951496133594
249.19710899802675 -22.43874024890631
248.87891930809917 -22.41273921154122
246.75088256422453 -22.326890317285056
248.79404791863402 -22.386786057686763
254.22438196662216 -22.510493040744173
257.84358125545026 -22.591126109803056
252.64497726785805 -22.4991947977333
253.7945376385497 -22.49629982155543
252.92584144305306 -22.460602854114356
254.42913878703948 -22.481429473624
253.73457064709987 -22.515173611818742
253.00957246468099 -22.48439939479912
254.62464617992543 -22.5547889854075
253.13114732169151 -22.473190788863654
252.68075107174477 -22.46213507768187
250.73081256311912 -22.464767356552215
253.9270429485031 -22.53931133316589
251.7920265699728 -22.559609681601867
252.18574963681087 -22.5198872826457
255.72303542052168 -22.506980071883664
255.06164777718078 -22.590444556137516
249.26239339864864 -22.399622964373904
252.26265284715905 -22.448339948076296
254.0514108037403 -22.50693503538751
250.43184602875553 -22.44995289176663
256.51002696312855 -22.537348337764893
256.20145226491195 -22.58734128123451
255.57773858701012 -22.599041482653224
255.079153709484 -22.584698093596373
254.27341690513077 -22.470932435812305
249.82822002165835 -22.41154390616334
245.30262075723766 -22.358120306817362
245.70262430062334 -22.302732137072308
247.47530606798315 -22.37896683491683
252.140141195575 -22.43731778636812
249.90346956444063 -22.403050375378502
251.0283554604736 -22.44797920550571
249.31472006691678 -22.476632559134462
250.76714700077298 -22.367450700073718
251.9464166844657 -22.391817313206914
254.90614602983197 -22.52880180448014
257.52549642401857 -22.58774036690378
258.20734974483213 -22.58101736591593
258.21383499082685 -22.609839568564098
255.33912904119833 -22.496773772781584
257.4571307576001 -22.590555351045428
258.0234733594576 -22.600736943636278
253.37737936579535 -22.5437360967215
258.6282714130556 -22.591267232285364
258.6031007317444 -22.597620550360027
256.542739035439 -22.538822675871923
256.543635274982 -22.55222159748387
258.01733501025905 -22.577228995029664
259.4866051148176 -22.619715202024167
259.21612933263646 -22.60835230683391
258.52608307090003 -22.57751631840883
256.3456512324542 -22.61705145134028
251.3562523970143 -22.472682359088346
251.29101956198403 -22.424107839096006
247.23826500785384 -22.435773906266682
249.60243431536108 -22.426492976284123
256.2237333785993 -22.549338727242045
255.53003423524436 -22.530996425678886
253.63501747493117 -22.492465910138666
253.13856787051705 -22.51775910355045
249.52604968082312 -22.40214614163758
251.8581619367325 -22.43038550871436
254.26764118486204 -22.501481117552636
252.87308081934617 -22.477816960466953
250.4008151318157 -22.417058780105844
250.580502367471 -22.415662872791767
251.31787387872015 -22.433795747761984
251.18071926278282 -22.441700019544502
249.36307240895127 -22.385557545223374
254.09673825007718 -22.505458485689516
251.7588948010504 -22.510122006673388
257.09995758272044 -22.554875475345746
256.1614192821101 -22.57584918603476
257.1473573283238 -22.64997217534264
256.74203254052713 -22.604627213617622
254.53657651650198 -22.49709902268283
252.19509560658832 -22.493718840984084
250.34448566850875 -22.45361996004776
248.28293856524814 -22.412319452624153
247.98700071723337 -22.380635156177163
250.0000819886414 -22.36673554066497
246.88377057259345 -22.301663537761137
246.79481994290242 -22.320949235816546
245.28332013481483 -22.31268237228552
246.3490683463582 -22.34416453769765
252.69644331501152 -22.472568552055957
